Club,Name,market_value
Man City,Erling Haaland,60
Chelsea,Enzo Fernández,121
Man Utd,Antony,95
Chelsea,Wesley Fofana,80.4
Real Madrid,Aurélien Tchouaméni,80
Man Utd,Casemiro,70.65
Chelsea,Mykhaylo Mudryk,70
Newcastle,Alexander Isak,70
Bayern Munich,Matthijs de Ligt,67
Chelsea,Raheem Sterling,56.2
Bayern Munich,Sadio Mané,32
Chelsea,Marc Cucurella,65.3
Juventus,Federico Chiesa,42.5
Barcelona,Jules Koundé,50
Liverpool,Cody Gakpo,42
Barcelona,Raphinha,58
Tottenham,Richarlison,58
Man Utd,Lisandro Martínez,57.37
Liverpool,Darwin Núñez,80
Paris SG,Fabián Ruiz,23
Arsenal,Gabriel Jesus,52.2
Tottenham,Cristian Romero,50
Man City,Kalvin Phillips,49
Paris SG,Carlos Soler,18
Newcastle,Anthony Gordon,45.6
Barcelona,Robert Lewandowski,45
Wolves,Matheus Nunes,45
Benfica,Enzo Fernández,44.25
West Ham,Lucas Paquetá,42.95
Rennes,Amine Gouiri,28
Paris SG,Vitinha,41.5
Juventus,Bremer,41
Paris SG,Nuno Mendes,38
Chelsea,Benoît Badiashile,38
Wolves,Gonçalo Guedes,32.6
Aston Villa,Diego Carlos,31
Chelsea,Kalidou Koulibaly,38
Newcastle,Sven Botman,37
West Ham,Gianluca Scamacca,36
Arsenal,Fábio Vieira,35
Arsenal,Oleksandr Zinchenko,35
Everton,Amadou Onana,35
West Ham,Nayef Aguerd,35
Chelsea,Noni Madueke,35
Bor. Dortmund,Sébastien Haller,31
Bor. Dortmund,Karim Adeyemi,30
Tottenham,Yves Bissouma,29.2
RB Leipzig,Timo Werner,20
Bayern Munich,Ryan Gravenberch,18.5
Arsenal,Jorginho,11.3
Bor. Dortmund,Nico Schlotterbeck,20
Leeds,Brenden Aaronson,32.84
Marseille,Vitinha,32
Ajax,Steven Bergwijn,31.25
AC Milan,Charles De Ketelaere,35.5
Chelsea,Malo Gusto,30
Arsenal,Leandro Trossard,24
Man City,Manuel Akanji,17.5
SSC Napoli,Frank Anguissa,16
Galatasaray,Nicolò Zaniolo,15
Nottm Forest,Morgan Gibbs-White,29.5
Aston Villa,Leander Dendoncker,15
Paris SG,Renato Sanches,15
Monaco,Mohamed Camara,15
RB Leipzig,Xaver Schlager,12
RB Leipzig,David Raum,26
Arsenal,Jakub Kiwior,25
Southampton,Kamaldeen Sulemana,25
Leeds,Luis Sinisterra,25
Atalanta BC,Merih Demiral,21
Nottm Forest,Danilo,20
Fulham,João Palhinha,20
Wolves,Sasa Kalajdzic,18
Marseille,Mattéo Guendouzi,11
Sporting CP,Pedro Porro,8.77
Rayo Vallecano,Raúl de Tomás,8
Wolves,Nathan Collins,24.3
Juventus,Filip Kostic,13
Inter,Joaquín Correa,27.3
Ajax,Calvin Bassey,23
Bournemouth,Ilya Zabarnyi,22.7
OGC Nice,Sofiane Diop,22
Atalanta BC,Jérémie Boga,22
West Ham,Thilo Kehrer,12
Marseille,Cengiz Ünder,8.4
Girona,Viktor Tsygankov,5
West Ham,Maxwel Cornet,20.7
Nottm Forest,Taiwo Awoniyi,20.5
FC Porto,David Carmo,20.28
Atlético Madrid,Nahuel Molina,20
Bayern Munich,Mathys Tel,20
Rennes,Arnaud Kalimuendo,20
Aston Villa,Philippe Coutinho,20
Real Sociedad,Umar Sadiq,20
Nottm Forest,Neco Williams,20
Brighton,Pervis Estupiñán,17.8
Benfica,David Neres,15.3
Fiorentina,Dodô,14.5
Aston Villa,Álex Moreno,13.5
B. Leverkusen,Adam Hlozek,13
Paris SG,Nordi Mukiele,12
Nottm Forest,Remo Freuler,9
Galatasaray,Lucas Torreira,6
Wolves,Pablo Sarabia,5
Atlético Madrid,Memphis Depay,3
Fiorentina,Antonin Barak,
Rennes,Arthur Theate,19
Udinese Calcio,Hassane Kamara,19
Brentford,Keane Lewis-Potter,19
Wolves,João Gomes,18.7
SSC Napoli,Min-jae Kim,18.05
Tottenham,Destiny Udogie,18
Southampton,Paul Onuachu,18
Chelsea,Carney Chukwuemeka,18
Everton,Dwight McNeil,17
Brentford,Aaron Hickey,16.5
OGC Nice,Gaëtan Laborde,15
Flamengo,Gerson,15
Real Sociedad,Brais Méndez,14
Everton,Neal Maupay,11.8
Nottm Forest,Moussa Niakhaté,10
Lazio,Mattia Zaccagni,7.1
AS Roma,Zeki Celik,7
Fulham,Issa Diop,17.8
Newcastle,Matt Targett,17.5
Leeds,Tyler Adams,17
